catalogNumber,scientificName,Sex,Sociality,Median.Ocellar.Width,Median Ocellar Height,Lateral Ocellar Width ,Lateral Ocellar Length ,lateral-median distance ,lateral-lateral distance,eye length,Head Width,intertegular span,Corrected.MOW,Corrected.ITS,Corrected.MOH,Corrected.LOW,Corrected.LOL,Corrected.LMD,Corrected.LLD,Corrected.EL,Corrected.HW,MOW.to.ITS.Ratio
UCSB-IZC00010541,Xylocopa varipuncta,Male,Solitary,1.75,1.6,1.55,1.75,1.1,2.3,2.65,3.75,3.55,0.4375,4.4375,0.4,0.3875,0.4375,0.275,0.575,3.3125,4.6875,0.0985915493
UCSB-IZC00010424,Xylocopa varipuncta,Male,Solitary,1.8,1.7,1.5,1.7,1.1,2.2,2.75,3.85,3.8,0.45,4.75,0.425,0.375,0.425,0.275,0.55,3.4375,4.8125,0.09473684211
UCSB-IZC00014831,Xylocopa varipuncta,Male,Solitary,1.7,1.55,1.6,1.75,1.3,2.3,2.75,3.85,3.8,0.425,4.75,0.3875,0.4,0.4375,0.325,0.575,3.4375,4.8125,0.08947368421
UCSB-IZC00014669,Xylocopa varipuncta,Male,Solitary,1.55,1.4,1.4,1.55,1.1,2.2,2.65,3.75,3.7,0.3875,4.625,0.35,0.35,0.3875,0.275,0.55,3.3125,4.6875,0.08378378378
UCSB-IZC00028559,Xylocopa varipuncta,Male,Solitary,1.6,1.5,1.4,1.6,1.2,2.3,2.65,3.7,3.55,0.4,4.4375,0.375,0.35,0.4,0.3,0.575,3.3125,4.625,0.09014084507
UCSB-IZC00014975,Xylocopa varipuncta,Male,Solitary,1.8,1.6,1.5,1.7,1.15,2.1,2.7,3.7,3.6,0.45,4.5,0.4,0.375,0.425,0.2875,0.525,3.375,4.625,0.1
UCSB-IZC00010266,Xylocopa varipuncta,Female,Solitary,1.85,1.6,1.6,1.7,1.5,3.2,2.9,4.5,3.9,0.4625,4.875,0.4,0.4,0.425,0.375,0.8,3.625,5.625,0.09487179487
UCSB-IZC00012203,Xylocopa varipuncta,Female,Solitary,1.5,1.35,1.4,1.6,1.35,2.7,2.6,3.9,3.3,0.375,4.125,0.3375,0.35,0.4,0.3375,0.675,3.25,4.875,0.09090909091
UCSB-IZC00014978,Xylocopa varipuncta,Female,Solitary,1.4,1.35,1.3,1.45,1.2,2.55,2.4,3.65,3.5,0.35,4.375,0.3375,0.325,0.3625,0.3,0.6375,3,4.5625,0.08
UCSB-IZC00014785,Xylocopa varipuncta,Female,Solitary,1.8,1.65,1.6,1.7,1.55,3.2,2.95,4.6,4,0.45,5,0.4125,0.4,0.425,0.3875,0.8,3.6875,5.75,0.09
UCSB-IZC00014787,Xylocopa varipuncta,Female,Solitary,1.7,1.55,1.6,1.7,1.4,3,2.8,4.3,3.8,0.425,4.75,0.3875,0.4,0.425,0.35,0.75,3.5,5.375,0.08947368421
UCSB-IZC00010827,Xylocopa varipuncta,Female,Solitary,1.65,1.55,1.6,1.7,1.6,2.95,2.7,4.4,3.9,0.4125,4.875,0.3875,0.4,0.425,0.4,0.7375,3.375,5.5,0.08461538462
UCSB-IZC00014711,Xylocopa varipuncta,Female,Solitary,1.8,1.55,1.55,1.8,1.5,3.15,2.95,4.55,3.9,0.45,4.875,0.3875,0.3875,0.45,0.375,0.7875,3.6875,5.6875,0.09230769231
UCSB-IZC00012237,Xylocopa varipuncta,Female,Solitary,1.8,1.7,1.65,1.85,1.5,3.1,2.9,4.6,4.05,0.45,5.0625,0.425,0.4125,0.4625,0.375,0.775,3.625,5.75,0.08888888889
UCSB-IZC00012216,Xylocopa varipuncta,Female,Solitary,1.7,1.6,1.65,1.8,1.6,3.1,2.9,4.6,4.05,0.425,5.0625,0.4,0.4125,0.45,0.4,0.775,3.625,5.75,0.08395061728
UCSB-IZC00010896,Xylocopa varipuncta,Female,Solitary,1.65,1.55,1.55,1.7,1.3,3,2.75,4.3,3.8,0.4125,4.75,0.3875,0.3875,0.425,0.325,0.75,3.4375,5.375,0.08684210526
UCSB-IZC00030678,Augochlorella pomoniella,Female,Social,0.65,0.6,0.55,0.65,0.55,1.55,1.2,1.75,1.25,0.1625,1.5625,0.15,0.1375,0.1625,0.1375,0.3875,1.5,2.1875,0.104
UCSB-IZC00036586,Augochlorella pomoniella,Female,Social,0.65,0.6,0.55,0.63,0.6,1.55,1.2,1.8,1.35,0.1625,1.6875,0.15,0.1375,0.1575,0.15,0.3875,1.5,2.25,0.0962962963
UCSB-IZC00036587,Augochlorella pomoniella,Female,Social,0.65,0.6,0.53,0.63,0.6,1.55,1.15,1.7,1.25,0.1625,1.5625,0.15,0.1325,0.1575,0.15,0.3875,1.4375,2.125,0.104
UCSB-IZC00010893,Augochlorella pomoniella,Female,Social,0.58,0.53,0.53,0.6,0.45,1.45,1,1.5,1.15,0.145,1.4375,0.1325,0.1325,0.15,0.1125,0.3625,1.25,1.875,0.1008695652
UCSB-IZC00030795,Augochlorella pomoniella,Female,Social,0.65,0.55,0.55,0.6,0.5,1.45,1.1,1.65,1.15,0.1625,1.4375,0.1375,0.1375,0.15,0.125,0.3625,1.375,2.0625,0.1130434783
UCSB-IZC00030779,Augochlorella pomoniella,Female,Social,0.65,0.55,0.53,0.6,0.5,1.55,1.2,1.75,1.3,0.1625,1.625,0.1375,0.1325,0.15,0.125,0.3875,1.5,2.1875,0.1
UCSB-IZC00030859,Augochlorella pomoniella,Female,Social,0.65,0.6,0.55,0.63,0.6,1.6,1.15,1.8,1.3,0.1625,1.625,0.15,0.1375,0.1575,0.15,0.4,1.4375,2.25,0.1
UCSB-IZC00034524,Augochlorella pomoniella,Female,Social,0.65,0.55,0.55,0.63,0.5,1.5,1.2,1.75,1.3,0.1625,1.625,0.1375,0.1375,0.1575,0.125,0.375,1.5,2.1875,0.1
UCSB-IZC00005586,Augochlorella pomoniella,Female,Social,0.7,0.5,0.65,0.7,0.55,1.55,1.3,1.85,1.4,0.175,1.75,0.125,0.1625,0.175,0.1375,0.3875,1.625,2.3125,0.1
UCSB-IZC00038805,Augochlorella pomoniella,Female,Social,0.6,0.5,0.5,0.6,0.45,1.3,1.05,1.6,1.1,0.15,1.375,0.125,0.125,0.15,0.1125,0.325,1.3125,2,0.1090909091
UCSB-IZC00034540,Augochlorella pomoniella,Male,Social,0.65,0.55,0.5,0.63,0.5,1.35,1.05,1.45,1,0.1625,1.25,0.1375,0.125,0.1575,0.125,0.3375,1.3125,1.8125,0.13
UCSB-IZC00038815,Augochlorella pomoniella,Male,Social,0.65,0.6,0.55,0.65,0.55,1.5,1.15,1.75,1.3,0.1625,1.625,0.15,0.1375,0.1625,0.1375,0.375,1.4375,2.1875,0.1
UCSB-IZC00042406,Augochlorella pomoniella,Male,Social,0.65,0.55,0.5,0.63,0.5,1.4,1.05,1.45,1.1,0.1625,1.375,0.1375,0.125,0.1575,0.125,0.35,1.3125,1.8125,0.1181818182
UCSB-IZC00042660,Augochlorella pomoniella,Male,Social,0.55,0.45,0.45,0.5,0.5,1.2,0.95,1.35,0.95,0.1375,1.1875,0.1125,0.1125,0.125,0.125,0.3,1.1875,1.6875,0.1157894737
UCSB-IZC00038537,Augochlorella pomoniella,Male,Social,0.65,0.55,0.55,0.6,0.5,1.35,1.05,1.5,1.15,0.1625,1.4375,0.1375,0.1375,0.15,0.125,0.3375,1.3125,1.875,0.1130434783
UCSB-IZC00042654,Augochlorella pomoniella,Male,Social,0.75,0.63,0.6,0.65,0.55,1.5,1.2,1.7,1.3,0.1875,1.625,0.1575,0.15,0.1625,0.1375,0.375,1.5,2.125,0.1153846154
UCSB-IZC0003766,Augochlorella pomoniella,Male,Social,0.7,0.6,0.6,0.65,0.5,1.4,1.15,1.6,1.25,0.175,1.5625,0.15,0.15,0.1625,0.125,0.35,1.4375,2,0.112
UCSB-IZC00040425,Augochlorella pomoniella,Male,Social,0.65,0.6,0.55,0.6,0.5,1.45,1.05,1.5,1.15,0.1625,1.4375,0.15,0.1375,0.15,0.125,0.3625,1.3125,1.875,0.1130434783
UCSB-IZC00044456,Augochlorella pomoniella,Male,Social,0.7,0.6,0.5,0.65,0.45,1.4,1.05,1.55,1.2,0.175,1.5,0.15,0.125,0.1625,0.1125,0.35,1.3125,1.9375,0.1166666667
UCSB-IZC00042130,Augochlorella pomoniella,Male,Social,0.7,0.6,0.55,0.6,0.5,1.55,1.15,1.6,1.2,0.175,1.5,0.15,0.1375,0.15,0.125,0.3875,1.4375,2,0.1166666667
UCSB-IZC00023174,Lasioglossum incompletum,Female,Solitary,0.43,0.4,0.35,0.45,0.45,1.2,0.7,1,0.75,0.1075,0.9375,0.1,0.0875,0.1125,0.1125,0.3,0.875,1.25,0.1146666667
UCSB-IZC00023244,Lasioglossum incompletum,Female,Solitary,0.45,0.43,0.43,0.45,0.5,1.3,0.8,1.15,0.9,0.1125,1.125,0.1075,0.1075,0.1125,0.125,0.325,1,1.4375,0.1
UCSB-IZC00023183,Lasioglossum incompletum,Female,Solitary,0.45,0.43,0.4,0.43,0.45,1.2,0.75,1.05,0.8,0.1125,1,0.1075,0.1,0.1075,0.1125,0.3,0.9375,1.3125,0.1125
UCSB-IZC00022003,Lasioglossum incompletum,Female,Solitary,0.48,0.45,0.45,0.48,0.5,1.4,0.8,1.15,0.9,0.12,1.125,0.1125,0.1125,0.12,0.125,0.35,1,1.4375,0.1066666667
UCSB-IZC00022865,Lasioglossum incompletum,Female,Solitary,0.5,0.45,0.4,0.5,0.45,1.3,0.75,1.1,0.8,0.125,1,0.1125,0.1,0.125,0.1125,0.325,0.9375,1.375,0.125
UCSB-IZC00020060,Lasioglossum incompletum,Female,Solitary,0.45,0.4,0.38,0.43,0.45,1.35,0.75,1.05,0.8,0.1125,1,0.1,0.095,0.1075,0.1125,0.3375,0.9375,1.3125,0.1125
UCSB-IZC00036677,Lasioglossum incompletum,Female,Solitary,0.4,0.35,0.35,0.4,0.4,1.15,0.7,0.9,0.7,0.1,0.875,0.0875,0.0875,0.1,0.1,0.2875,0.875,1.125,0.1142857143
UCSB-IZC00020488,Lasioglossum incompletum,Female,Solitary,0.5,0.45,0.43,0.45,0.5,1.3,0.8,1.1,0.8,0.125,1,0.1125,0.1075,0.1125,0.125,0.325,1,1.375,0.125
UCSB-IZC00036856,Lasioglossum incompletum,Female,Solitary,0.4,0.4,0.35,0.4,0.45,1.15,0.7,1,0.7,0.1,0.875,0.1,0.0875,0.1,0.1125,0.2875,0.875,1.25,0.1142857143
UCSB-IZC00010257,Lasioglossum incompletum,Female,Solitary,0.45,0.4,0.38,0.43,0.45,1.2,0.8,1,0.78,0.1125,0.975,0.1,0.095,0.1075,0.1125,0.3,1,1.25,0.1153846154
UCSB-IZC00021367,Lasioglossum incompletum,Male,Solitary,0.6,0.55,0.5,0.5,0.6,1.6,0.8,1.25,0.9,0.15,1.125,0.1375,0.125,0.125,0.15,0.4,1,1.5625,0.1333333333
UCSB-IZC00020329,Lasioglossum incompletum,Male,Solitary,0.55,0.55,0.45,0.5,0.5,1.35,0.8,1.2,0.8,0.1375,1,0.1375,0.1125,0.125,0.125,0.3375,1,1.5,0.1375
UCSB-IZC00020057,Lasioglossum incompletum,Male,Solitary,0.55,0.5,0.46,0.5,0.5,1.35,0.75,1.2,0.8,0.1375,1,0.125,0.115,0.125,0.125,0.3375,0.9375,1.5,0.1375
UCSB-IZC00036987,Lasioglossum incompletum,Male,Solitary,0.55,0.5,0.45,0.5,0.45,1.3,0.7,1,0.75,0.1375,0.9375,0.125,0.1125,0.125,0.1125,0.325,0.875,1.25,0.1466666667
UCSB-IZC00021370,Lasioglossum incompletum,Male,Solitary,0.55,0.5,0.5,0.5,0.5,1.3,0.8,1.15,0.8,0.1375,1,0.125,0.125,0.125,0.125,0.325,1,1.4375,0.1375
UCSB-IZC00022862,Lasioglossum incompletum,Male,Solitary,0.45,0.4,0.35,0.4,0.4,1.15,0.6,0.88,0.6,0.1125,0.75,0.1,0.0875,0.1,0.1,0.2875,0.75,1.1,0.15
UCSB-IZC00002380,Lasioglossum incompletum,Male,Solitary,0.43,0.35,0.4,0.4,0.4,1.15,0.6,0.9,0.65,0.1075,0.8125,0.0875,0.1,0.1,0.1,0.2875,0.75,1.125,0.1323076923
UCSB-IZC00023264,Lasioglossum incompletum,Male,Solitary,0.45,0.4,0.4,0.42,0.4,1.2,0.68,0.93,0.7,0.1125,0.875,0.1,0.1,0.105,0.1,0.3,0.85,1.1625,0.1285714286
UCSB-IZC00023105,Lasioglossum incompletum,Male,Solitary,0.5,0.43,0.45,0.45,0.45,1.25,0.7,0.98,0.75,0.125,0.9375,0.1075,0.1125,0.1125,0.1125,0.3125,0.875,1.225,0.1333333333
UCSB-IZC00010281,Bombus melanopygus,Female,Social,1,0.9,0.8,0.85,0.85,2.7,1.8,2.8,2.9,0.25,3.625,0.225,0.2,0.2125,0.2125,0.675,2.25,3.5,0.06896551724
UCSB-IZC00035612,Bombus melanopygus,Female,Social,1,0.95,0.85,0.9,0.85,2.7,1.8,2.9,3,0.25,3.75,0.2375,0.2125,0.225,0.2125,0.675,2.25,3.625,0.06666666667
UCSB-IZC00035503,Bombus melanopygus,Female,Social,1,0.9,0.85,0.95,0.95,2.85,1.9,2.95,3.1,0.25,3.875,0.225,0.2125,0.2375,0.2375,0.7125,2.375,3.6875,0.06451612903
UCSB-IZC00035505,Bombus melanopygus,Female,Social,1,0.9,0.85,1,0.9,2.85,1.9,3,3.1,0.25,3.875,0.225,0.2125,0.25,0.225,0.7125,2.375,3.75,0.06451612903
UCSB-IZC00009120,Bombus melanopygus,Female,Social,0.95,0.85,0.8,0.9,0.9,2.85,1.8,2.8,2.95,0.2375,3.6875,0.2125,0.2,0.225,0.225,0.7125,2.25,3.5,0.06440677966
UCSB-IZC00010290,Bombus melanopygus,Female,Social,1.25,1.2,1,1.15,0.95,3.05,2.2,3.7,4,0.3125,5,0.3,0.25,0.2875,0.2375,0.7625,2.75,4.625,0.0625
UCSB-IZC00028362,Bombus melanopygus,Female,Social,1,0.8,0.8,0.85,0.9,2.7,1.65,2.65,2.8,0.25,3.5,0.2,0.2,0.2125,0.225,0.675,2.0625,3.3125,0.07142857143
UCSB-IZC00035189,Bombus melanopygus,Female,Social,0.95,0.9,0.75,0.9,0.8,2.7,1.7,2.8,2.9,0.2375,3.625,0.225,0.1875,0.225,0.2,0.675,2.125,3.5,0.06551724138
UCSB-IZC00035570,Bombus melanopygus,Queen,Social,1.2,1.15,0.9,1.1,1.05,3.35,2.2,3.7,3.9,0.3,4.875,0.2875,0.225,0.275,0.2625,0.8375,2.75,4.625,0.06153846154
UCSB-IZC00010291,Bombus melanopygus,Male,Social,1,0.95,0.8,0.9,1,2.95,1.8,2.85,2.9,0.25,3.625,0.2375,0.2,0.225,0.25,0.7375,2.25,3.5625,0.06896551724
UCSB-IZC00035333,Bombus melanopygus,Male,Social,0.95,0.9,0.75,0.9,0.85,2.7,1.85,2.85,2.8,0.2375,3.5,0.225,0.1875,0.225,0.2125,0.675,2.3125,3.5625,0.06785714286
UCSB-IZC00009076,Bombus melanopygus,Male,Social,1,1,0.85,1,0.75,2.6,1.9,3,2.95,0.25,3.6875,0.25,0.2125,0.25,0.1875,0.65,2.375,3.75,0.06779661017
UCSB-IZC00010471,Bombus melanopygus,Male,Social,1,1,0.85,1,0.9,2.85,1.8,2.9,2.8,0.25,3.5,0.25,0.2125,0.25,0.225,0.7125,2.25,3.625,0.07142857143
UCSB-IZC00009798,Bombus melanopygus,Male,Social,1,1,0.9,1,0.85,2.7,1.8,2.9,2.75,0.25,3.4375,0.25,0.225,0.25,0.2125,0.675,2.25,3.625,0.07272727273
UCSB-IZC00010520,Bombus melanopygus,Male,Social,1,1.03,0.9,1.05,0.85,2.75,1.9,2.95,2.85,0.25,3.5625,0.2575,0.225,0.2625,0.2125,0.6875,2.375,3.6875,0.0701754386
UCSB-IZC00035522,Bombus melanopygus,Male,Social,1,0.95,0.9,0.95,0.75,2.6,1.8,2.85,2.7,0.25,3.375,0.2375,0.225,0.2375,0.1875,0.65,2.25,3.5625,0.07407407407
UCSB-IZC00028360,Bombus melanopygus,Male,Social,1.05,1,0.9,0.95,0.7,2.65,1.85,2.9,2.85,0.2625,3.5625,0.25,0.225,0.2375,0.175,0.6625,2.3125,3.625,0.07368421053
UCSB-IZC00010311,Bombus melanopygus,Male,Social,1,0.95,0.85,0.9,0.75,2.6,1.7,2.8,2.6,0.25,3.25,0.2375,0.2125,0.225,0.1875,0.65,2.125,3.5,0.07692307692
UCSB-IZC00035557,Bombus melanopygus,Male,Social,1,0.95,0.9,1,0.8,2.7,1.75,2.85,2.7,0.25,3.375,0.2375,0.225,0.25,0.2,0.675,2.1875,3.5625,0.07407407407